iter	AUC:type=Mu	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
113	0.8939620069	1.249692606	0.5779685265	0	0	0.6209476309	0.6500328299	0.356545961	0
114	0.8939509511	1.247293008	0.5765379113	0	0	0.6192259675	0.6491803279	0.3519553073	0
115	0.8944981131	1.244861622	0.5758226037	0	0	0.6192259675	0.6474442988	0.3529411765	0
116	0.8957077677	1.24275351	0.5793991416	0	0	0.6251556663	0.6500328299	0.3575418994	0
117	0.8966231461	1.24035801	0.5801144492	0	0	0.6259351621	0.6509186352	0.3575418994	0
118	0.8965515806	1.238185857	0.5793991416	0	0	0.6251556663	0.6500328299	0.3575418994	0
119	0.8967098024	1.23607575	0.5808297568	0	0	0.6276463263	0.6517739816	0.356545961	0
120	0.8972594996	1.233884421	0.5808297568	0	0	0.625	0.6518032787	0.3621169916	0
121	0.8976077236	1.231661407	0.582260372	0	0	0.6275	0.6535433071	0.3611111111	0
122	0.8982749569	1.229583135	0.5829756795	0	0	0.6275	0.6539724228	0.3656509695	0
123	0.8986872483	1.227589319	0.5815450644	0	0.03333333333	0.6267166042	0.6526592252	0.356545961	0
124	0.8987546803	1.22569615	0.5829756795	0	0.03333333333	0.6275	0.6539724228	0.3611111111	0
125	0.899098118	1.223834384	0.5836909871	0	0.03333333333	0.6275	0.6544021025	0.3656509695	0
126	0.8996408991	1.221859819	0.582260372	0	0.03333333333	0.6259351621	0.6530612245	0.364640884	0
127	0.900093735	1.219854483	0.582260372	0	0.03333333333	0.6259351621	0.6530612245	0.364640884	0
128	0.9003261452	1.217903054	0.582260372	0	0.03333333333	0.6251556663	0.652173913	0.3701657459	0
129	0.9006712746	1.216153472	0.582260372	0	0.03333333333	0.6251556663	0.652173913	0.3701657459	0
130	0.9011044719	1.214115389	0.5815450644	0	0.03333333333	0.6259351621	0.6522024984	0.3611111111	0
131	0.9013602034	1.212075041	0.5844062947	0	0.03333333333	0.6284289277	0.6543778802	0.3701657459	0
132	0.9020588319	1.209996139	0.5858369099	0	0.03333333333	0.6292134831	0.6543778802	0.3801652893	0
133	0.9019036237	1.208130679	0.5851216023	0	0.03333333333	0.6284289277	0.6534914361	0.3801652893	0
134	0.9026111078	1.206464685	0.5844062947	0	0.03333333333	0.6284289277	0.6539473684	0.3711911357	0
135	0.9027475084	1.204461333	0.5858369099	0	0.03333333333	0.6284289277	0.6548089592	0.3801652893	0
136	0.9032806503	1.202499353	0.5851216023	0	0.03333333333	0.6267166042	0.6543778802	0.3801652893	0
137	0.903422994	1.200622775	0.587267525	0	0.03333333333	0.6301369863	0.6556728232	0.3846153846	0
138	0.9036127919	1.198701788	0.587267525	0	0.03333333333	0.6284289277	0.6552179657	0.3923705722	0
139	0.9036275036	1.197056951	0.5886981402	0	0.09677419355	0.6284289277	0.6556510245	0.393442623	0
140	0.9042902743	1.195183867	0.5886981402	0	0.09677419355	0.6284289277	0.6556510245	0.393442623	0
141	0.9043624717	1.193484482	0.5908440629	0	0.09677419355	0.6301369863	0.6569536424	0.402173913	0
142	0.9046952133	1.191762895	0.5879828326	0	0.09677419355	0.6276463263	0.6556510245	0.3890410959	0
143	0.9046927494	1.190063734	0.5865522175	0	0.09677419355	0.6259351621	0.6543291474	0.3879781421	0
144	0.9048752873	1.188217924	0.5894134478	0	0.09677419355	0.6293532338	0.6560636183	0.3967391304	0
145	0.905079756	1.186375323	0.5915593705	0	0.09677419355	0.631840796	0.6573889993	0.402173913	0
146	0.9054635403	1.184542454	0.5929899857	0	0.09677419355	0.631840796	0.6587143804	0.4076086957	0
147	0.9056450709	1.182550246	0.5922746781	0	0.09677419355	0.631840796	0.6578249337	0.406504065	0
148	0.9061028964	1.180826787	0.5922746781	0	0.09677419355	0.6301369863	0.6582614466	0.409703504	0
149	0.9064168985	1.179170974	0.5922746781	0	0.09677419355	0.6301369863	0.6582614466	0.409703504	0
150	0.906466563	1.177568449	0.5915593705	0	0.09677419355	0.6284289277	0.6578249337	0.409703504	0
151	0.9067324455	1.175927694	0.5922746781	0	0.09677419355	0.6293532338	0.6595744681	0.4075067024	0
152	0.9069805259	1.174418219	0.5908440629	0	0.09677419355	0.6302729529	0.6573705179	0.4010840108	0
153	0.9071222881	1.172998525	0.5908440629	0	0.09677419355	0.6293532338	0.6573705179	0.4043126685	0
154	0.908031893	1.1714157	0.5922746781	0	0.09677419355	0.6293532338	0.6582446809	0.4128686327	0
155	0.9092401479	1.169769663	0.5944206009	0	0.09677419355	0.631840796	0.6613333333	0.4137931034	0
156	0.9093806085	1.168135248	0.5929899857	0	0.09677419355	0.6302729529	0.6595460614	0.4137931034	0
157	0.909089062	1.166611637	0.5929899857	0	0.09677419355	0.6310559006	0.6591060707	0.4137931034	0
158	0.9099286092	1.164828301	0.5929899857	0	0.09677419355	0.6319702602	0.6591060707	0.4106666667	0
159	0.9100167011	1.16324989	0.5915593705	0	0.09677419355	0.6310559006	0.6582278481	0.4053333333	0
160	0.9105287627	1.161818991	0.5908440629	0	0.09677419355	0.6319702602	0.6582278481	0.3967828418	0
161	0.9115182475	1.160421952	0.5915593705	0	0.09677419355	0.6335403727	0.6591211718	0.3957219251	0
162	0.9121171056	1.158769209	0.5929899857	0	0.09677419355	0.6335403727	0.66	0.4042553191	0
163	0.912273642	1.157262056	0.5922746781	0	0.09677419355	0.6319702602	0.6595460614	0.4042553191	0
164	0.9124487479	1.155692838	0.5944206009	0	0.09677419355	0.635235732	0.6608811749	0.4084880637	0
165	0.9128500544	1.154087781	0.5929899857	0	0.09677419355	0.631840796	0.66	0.4084880637	0
166	0.9129043372	1.152720467	0.5965665236	0	0.09677419355	0.635235732	0.6622073579	0.4210526316	0
167	0.9128047957	1.15140212	0.5951359084	0	0.09677419355	0.6335403727	0.6613226453	0.4168865435	0
168	0.9133666446	1.149897362	0.595851216	0	0.09677419355	0.6335403727	0.6617647059	0.4210526316	0
169	0.9134221252	1.148470592	0.5965665236	0	0.09677419355	0.6335403727	0.6622073579	0.4251968504	0
170	0.9133385178	1.147154239	0.5951359084	0	0.09677419355	0.6327543424	0.6617647059	0.4168865435	0
171	0.9136777226	1.145598179	0.5972818312	0	0.09677419355	0.6361386139	0.6630944407	0.4210526316	0
172	0.9138900538	1.144507699	0.5979971388	0	0.09677419355	0.6361386139	0.663538874	0.4251968504	0
173	0.9140647892	1.143224408	0.5972818312	0	0.09677419355	0.6361386139	0.6630944407	0.4210526316	0
174	0.914476095	1.141983092	0.595851216	0	0.09677419355	0.634448575	0.6622073579	0.4168865435	0
175	0.9149456334	1.140596282	0.595851216	0	0.09677419355	0.634448575	0.6613119143	0.4210526316	0
176	0.9151714103	1.139160201	0.595851216	0	0.09677419355	0.634448575	0.661754856	0.4199475066	0
177	0.9153630836	1.137909238	0.5965665236	0	0.09677419355	0.634448575	0.6621983914	0.4240837696	0
178	0.9154970881	1.136618254	0.5972818312	0	0.09677419355	0.6378244747	0.6626425218	0.4199475066	0
179	0.9162381092	1.135027367	0.5972818312	0	0.09677419355	0.6378244747	0.6621983914	0.4210526316	0
180	0.9163967527	1.13376662	0.5979971388	0	0.09677419355	0.6361386139	0.6626425218	0.4293193717	0
181	0.9166327476	1.132498246	0.5979971388	0	0.09677419355	0.6361386139	0.6626425218	0.4293193717	0
182	0.9166196114	1.131075365	0.5987124464	0	0.09677419355	0.6386138614	0.6626425218	0.4293193717	0
183	0.9167107946	1.129773097	0.5994277539	0	0.09677419355	0.6386138614	0.6635325722	0.4322916667	0
184	0.9168070079	1.12859566	0.6001430615	0	0.09677419355	0.6402966625	0.6635325722	0.4334203655	0
185	0.9172363183	1.127189562	0.6008583691	0	0.09677419355	0.6419753086	0.6639784946	0.4334203655	0
186	0.9174495363	1.125874246	0.6008583691	0	0.09677419355	0.6402966625	0.6639784946	0.4375	0
187	0.9172669922	1.124529878	0.6015736767	0	0.09677419355	0.6411837238	0.66487214	0.4375	0
188	0.9175568317	1.123141012	0.6015736767	0	0.09677419355	0.6411837238	0.66487214	0.4375	0
