,loan_term,gender,age,auto,housing,marstatus,regclient,jobtype,region,credits,children,delinq60plus
32411,9,мужской,42,нет,,,да,,кемеровская область север,нет,да,0
32412,9,мужской,59,нет,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
32414,14,мужской,26,,живут с родителями,разведен,да,,кемеровская область юг,нет,нет,0
32416,14,мужской,22,,,,да,официальное,кемеровская область север,да,нет,0
32420,14,женский,45,да,собственное,гражданский брак/женат/замужем,да,,красноярский край,нет,да,0
32422,14,женский,47,,,,да,,кемеровская область север,да,,0
32424,14,мужской,19,нет,,,да,официальное,кемеровская область юг,нет,нет,0
32425,14,женский,23,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
32427,14,женский,31,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
32429,14,женский,39,нет,долевая собственность,холост,да,,алтайский край,да,нет,0
32432,14,мужской,46,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,нет,0
32435,14,женский,40,,собственное,разведен,да,официальное,кемеровская область юг,да,да,0
32438,14,мужской,33,,,,да,официальное,кемеровская область юг,да,нет,0
32441,14,женский,62,нет,собственное,холост,нет,,кемеровская область юг,нет,нет,0
32444,14,женский,56,да,собственное,гражданский брак/женат/замужем,нет,,красноярский край,да,нет,0
32445,14,женский,28,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
32449,14,женский,63,,собственное,холост,да,,новосибирская область,нет,нет,0
32455,14,женский,53,,,,нет,,кемеровская область север,да,нет,0
32456,14,женский,56,нет,собственное,гражданский брак/женат/замужем,да,,красноярский край,нет,нет,0
32458,14,женский,49,нет,собственное,вдова/вдовец,да,,красноярский край,нет,нет,0
32459,14,мужской,51,,собственное,разведен,нет,официальное,кемеровская область север,да,нет,0
32462,14,женский,58,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
32465,14,мужской,35,,,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,0
32466,14,мужской,67,,,,да,,кемеровская область север,да,нет,0
32467,14,женский,52,нет,долевая собственность,разведен,нет,,алтайский край,нет,нет,0
32468,14,женский,62,нет,собственное,вдова/вдовец,да,,красноярский край,да,нет,0
32472,14,женский,58,нет,собственное,,да,официальное,красноярский край,нет,нет,0
32478,14,женский,63,да,собственное,разведен,нет,,красноярский край,нет,нет,0
32483,14,женский,32,нет,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
32486,14,женский,27,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
32491,24,женский,63,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,0
32492,14,женский,58,,,,да,официальное,кемеровская область север,нет,нет,0
32495,14,мужской,36,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
32501,14,мужской,21,,,холост,да,официальное,кемеровская область юг,нет,нет,0
32502,14,мужской,37,,,,нет,,красноярский край,нет,нет,0
32510,14,женский,36,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
32517,14,мужской,67,,,,нет,,алтайский край,нет,нет,0
32525,9,мужской,26,,живут с родителями,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,0
32530,4,женский,58,,,,да,официальное,кемеровская область юг,да,нет,0
32531,4,женский,56,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
32532,4,мужской,46,,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
32534,9,мужской,20,,живут с родителями,холост,да,официальное,кемеровская область север,нет,нет,0
32536,9,женский,63,,собственное,,да,,кемеровская область север,да,нет,0
32537,9,мужской,21,,собственное,холост,да,официальное,кемеровская область север,да,нет,0
32538,14,мужской,22,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
32539,14,женский,56,,собственное,разведен,да,официальное,кемеровская область север,,нет,0
32545,14,женский,50,,собственное,разведен,да,,кемеровская область юг,нет,нет,0
32548,14,женский,46,,собственное,разведен,да,,кемеровская область север,да,нет,0
32549,14,мужской,42,,,,да,официальное,кемеровская область север,нет,нет,0
32555,14,женский,33,,собственное,холост,да,,кемеровская область юг,да,да,0
32557,14,женский,56,,собственное,разведен,да,,кемеровская область север,да,нет,0
32560,14,мужской,39,,,гражданский брак/женат/замужем,нет,,кемеровская область север,да,да,0
32561,14,женский,44,,,,да,официальное,кемеровская область юг,да,нет,0
32570,14,женский,67,,,,да,,кемеровская область юг,да,нет,0
32575,14,мужской,41,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32578,14,мужской,56,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
32585,14,женский,42,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
32588,14,мужской,37,,,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,нет,0
32589,14,женский,59,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
32591,14,женский,65,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
32593,14,женский,56,нет,живут с родителями,гражданский брак/женат/замужем,да,,новосибирская область,да,нет,0
32594,14,женский,47,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32595,14,женский,57,да,собственное,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
32596,14,женский,43,,,холост,да,,кемеровская область север,да,нет,0
32604,14,мужской,51,,,,да,,новосибирская область,да,нет,0
32605,14,мужской,37,,,,да,,новосибирская область,да,да,0
32607,14,мужской,31,нет,,,да,,кемеровская область север,нет,нет,0
32611,14,мужской,55,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
32612,16,женский,56,,,,нет,,новосибирская область,нет,нет,0
32613,24,женский,58,,,,да,,новосибирская область,нет,нет,0
32615,14,женский,36,,собственное,холост,да,,кемеровская область север,да,да,0
32617,14,женский,36,,,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32619,14,мужской,58,да,муниципальное,гражданский брак/женат/замужем,нет,,новосибирская область,нет,нет,0
32620,14,женский,38,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,,да,0
32621,14,мужской,23,,,гражданский брак/женат/замужем,нет,официальное,новосибирская область,да,да,0
32625,14,мужской,36,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,0
32630,14,женский,65,нет,собственное,гражданский брак/женат/замужем,да,,красноярский край,нет,нет,0
32631,14,мужской,21,да,живут с родителями,холост,да,,кемеровская область север,да,нет,0
32633,14,мужской,46,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
32634,14,женский,61,,долевая собственность,вдова/вдовец,да,,кемеровская область юг,нет,нет,0
32641,9,мужской,35,,муниципальное,разведен,да,,кемеровская область север,да,да,0
32642,9,женский,45,,арендуемое,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область юг,да,да,0
32643,4,мужской,39,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
32645,4,женский,28,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32646,4,женский,48,,муниципальное,холост,да,,кемеровская область север,да,нет,0
32647,4,женский,30,,,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
32648,4,мужской,26,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,да,0
32650,7,женский,38,,,,да,,новосибирская область,да,да,0
32651,9,мужской,32,,собственное,холост,да,официальное,новосибирская область,нет,нет,0
32654,9,женский,26,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32655,9,женский,41,,,,да,официальное,кемеровская область север,нет,да,0
32656,9,женский,33,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,,да,0
32657,9,женский,59,нет,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32658,9,женский,27,,живут с родителями,разведен,да,,кемеровская область юг,да,да,0
32659,9,мужской,35,,долевая собственность,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
32660,14,мужской,53,,,,нет,официальное,кемеровская область север,да,да,0
32669,14,женский,62,нет,муниципальное,разведен,да,,кемеровская область юг,да,нет,0
32671,14,женский,37,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
32676,14,мужской,27,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
32677,14,женский,64,,,,да,,кемеровская область юг,,нет,0
32678,14,женский,64,,,,да,,кемеровская область север,нет,,0
32679,14,женский,42,,,,да,,алтайский край,нет,да,0
32683,14,женский,46,нет,муниципальное,,да,,кемеровская область север,нет,нет,0
32685,14,мужской,34,,,,да,,новосибирская область,нет,да,0
32692,14,мужской,29,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,нет,0
32695,14,женский,35,нет,арендуемое,гражданский брак/женат/замужем,да,,красноярский край,нет,да,0
32697,14,мужской,48,,собственное,холост,да,,кемеровская область север,да,нет,0
32705,14,женский,57,нет,собственное,вдова/вдовец,да,официальное,кемеровская область север,нет,,0
32709,14,женский,31,нет,,,да,,кемеровская область север,да,да,0
32713,14,женский,53,нет,,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,нет,0
32721,14,женский,56,нет,муниципальное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
32724,14,женский,61,,муниципальное,холост,да,официальное,кемеровская область север,да,нет,0
32725,14,мужской,29,нет,арендуемое,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
32728,14,женский,60,,,,нет,,алтайский край,да,нет,0
32734,14,женский,46,,собственное,разведен,да,,кемеровская область север,да,да,0
32737,14,женский,72,нет,собственное,вдова/вдовец,да,,кемеровская область юг,нет,нет,0
32738,14,женский,70,,собственное,вдова/вдовец,нет,,кемеровская область север,да,нет,0
32739,14,мужской,38,,,,да,официальное,кемеровская область юг,да,да,0
32743,14,женский,46,,собственное,холост,да,официальное,кемеровская область юг,да,нет,0
32747,14,мужской,43,,живут с родителями,разведен,да,,кемеровская область юг,нет,да,0
32750,14,женский,29,,собственное,холост,да,,кемеровская область юг,нет,нет,0
32755,14,мужской,28,да,собственное,гражданский брак/женат/замужем,да,,красноярский край,нет,да,0
32760,14,женский,57,нет,муниципальное,гражданский брак/женат/замужем,да,,красноярский край,нет,нет,0
32763,14,мужской,39,,собственное,разведен,да,,кемеровская область север,да,да,0
32767,14,мужской,59,нет,муниципальное,гражданский брак/женат/замужем,нет,,кемеровская область север,нет,нет,0
32768,14,мужской,29,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
32770,14,женский,26,,живут с родителями,холост,нет,официальное,кемеровская область юг,да,нет,0
32772,14,женский,58,нет,,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
32773,14,мужской,62,,,,да,,кемеровская область север,нет,нет,0
32781,14,мужской,35,,долевая собственность,холост,да,официальное,кемеровская область юг,нет,нет,0
32786,14,мужской,26,да,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,да,0
32787,14,женский,42,,,,да,,новосибирская область,да,нет,0
32789,14,мужской,28,,собственное,холост,да,,кемеровская область север,да,нет,0
32792,14,женский,26,,собственное,холост,да,,кемеровская область север,да,да,0
32797,14,женский,33,,,,да,,новосибирская область,да,да,0
32799,14,женский,42,нет,собственное,холост,да,,кемеровская область юг,нет,нет,0
32804,14,женский,51,нет,собственное,гражданский брак/женат/замужем,да,официальное,алтайский край,,нет,0
32806,14,женский,44,нет,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
32810,14,мужской,65,да,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
32812,14,женский,40,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,нет,0
32818,14,женский,57,нет,собственное,вдова/вдовец,нет,,новосибирская область,да,нет,0
32820,14,мужской,25,нет,собственное,,да,неофициальное,кемеровская область юг,да,нет,0
32824,14,женский,64,,,,да,,алтайский край,,нет,0
32826,19,женский,52,,собственное,вдова/вдовец,нет,официальное,кемеровская область север,нет,нет,0
32827,14,женский,31,,,,да,,кемеровская область юг,,да,0
32831,9,мужской,38,,,,да,,новосибирская область,нет,нет,0
32833,14,женский,43,нет,собственное,холост,да,,алтайский край,нет,нет,0
32836,14,мужской,51,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
32841,14,женский,41,нет,собственное,разведен,нет,,красноярский край,нет,да,0
32844,14,женский,61,нет,собственное,холост,да,,кемеровская область юг,нет,нет,0
32847,14,мужской,22,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,0
32852,14,мужской,43,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,0
32855,14,мужской,35,,,,да,,новосибирская область,нет,нет,0
32866,14,мужской,27,нет,собственное,холост,да,,алтайский край,да,нет,0
32868,14,мужской,36,,,,да,,новосибирская область,нет,да,0
32872,14,женский,24,нет,живут с родителями,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
32873,14,мужской,64,,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,нет,0
32874,14,женский,66,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
32875,9,мужской,25,,собственное,холост,нет,,кемеровская область север,нет,нет,0
32877,6,женский,29,,,,да,,новосибирская область,нет,да,0
32878,14,мужской,22,да,собственное,разведен,да,,кемеровская область север,нет,да,0
32879,14,мужской,24,,собственное,холост,да,,кемеровская область юг,нет,нет,0
32880,14,мужской,44,,собственное,холост,да,,кемеровская область север,нет,нет,0
32882,14,женский,40,нет,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,,да,0
32884,14,мужской,62,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,нет,1
32885,14,мужской,29,,,,да,официальное,кемеровская область юг,нет,нет,1
32886,4,женский,33,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,да,0
32887,4,женский,66,,собственное,разведен,да,,кемеровская область юг,нет,нет,0
32889,4,женский,36,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32890,4,женский,65,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32891,4,женский,57,,собственное,вдова/вдовец,да,официальное,кемеровская область север,нет,,0
32892,4,мужской,26,,,,да,официальное,кемеровская область север,да,,0
32894,9,женский,56,нет,долевая собственность,разведен,нет,,кемеровская область север,нет,нет,0
32895,9,мужской,43,нет,собственное,гражданский брак/женат/замужем,да,официальное,новосибирская область,,да,0
32896,9,мужской,68,,,,да,,кемеровская область юг,да,нет,0
32898,9,женский,52,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32901,14,мужской,22,,арендуемое,холост,нет,официальное,новосибирская область,да,нет,0
32902,14,женский,55,нет,собственное,холост,да,,кемеровская область север,нет,нет,0
32903,14,женский,53,,собственное,гражданский брак/женат/замужем,да,официальное,алтайский край,нет,нет,0
32908,14,мужской,30,,живут с родителями,холост,нет,официальное,кемеровская область север,нет,нет,0
32910,14,женский,41,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32912,14,женский,51,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,да,нет,0
32914,14,женский,54,,,,да,,алтайский край,да,нет,0
32918,14,женский,60,нет,муниципальное,вдова/вдовец,да,,кемеровская область юг,нет,нет,0
32921,14,женский,23,,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,да,нет,0
32928,14,мужской,55,,,,да,,новосибирская область,нет,нет,0
32929,14,женский,61,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32938,14,женский,54,нет,,,да,официальное,кемеровская область юг,да,нет,0
32939,14,женский,57,,собственное,холост,да,,кемеровская область север,да,нет,0
32944,14,мужской,44,да,арендуемое,гражданский брак/женат/замужем,да,,алтайский край,да,да,0
32947,14,женский,22,,собственное,холост,да,,кемеровская область юг,да,нет,0
32952,14,мужской,65,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
32954,14,женский,52,,арендуемое,разведен,да,,кемеровская область север,нет,да,0
32956,14,мужской,24,нет,долевая собственность,холост,да,,алтайский край,да,нет,0
32958,14,женский,52,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32959,14,женский,58,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,нет,0
32962,14,мужской,26,,,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
32964,14,женский,30,,живут с родителями,гражданский брак/женат/замужем,нет,,кемеровская область юг,нет,да,0
32965,14,женский,54,,муниципальное,гражданский брак/женат/замужем,да,официальное,красноярский край,да,нет,0
32966,14,женский,23,,живут с родителями,разведен,нет,официальное,кемеровская область север,да,нет,0
32976,14,женский,24,нет,арендуемое,холост,да,,алтайский край,нет,да,0
32977,14,мужской,62,нет,муниципальное,вдова/вдовец,да,,алтайский край,да,нет,0
32980,14,женский,48,,собственное,холост,да,официальное,кемеровская область юг,да,нет,0
32982,14,женский,31,да,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,да,0
32984,14,женский,75,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,0
32985,14,женский,52,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
32987,14,женский,32,,арендуемое,гражданский брак/женат/замужем,нет,,кемеровская область север,да,да,0
32989,14,мужской,53,,собственное,холост,да,,кемеровская область север,нет,,0
32990,14,женский,48,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
32991,14,мужской,42,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,нет,да,0
32992,14,женский,53,нет,собственное,гражданский брак/женат/замужем,да,,новосибирская область,да,нет,0
32995,14,женский,62,нет,собственное,вдова/вдовец,нет,,кемеровская область юг,нет,нет,0
32996,14,мужской,23,,живут с родителями,холост,да,официальное,кемеровская область север,нет,нет,0
32998,14,мужской,30,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
33000,14,мужской,39,нет,собственное,гражданский брак/женат/замужем,нет,,алтайский край,нет,да,0
33003,14,женский,36,,,,да,,алтайский край,да,да,0
33009,14,женский,55,нет,муниципальное,гражданский брак/женат/замужем,да,,красноярский край,нет,нет,0
33011,14,женский,55,,,,нет,официальное,красноярский край,да,нет,0
33012,14,женский,33,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
33013,14,мужской,30,,арендуемое,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,да,да,0
33016,19,женский,55,нет,собственное,вдова/вдовец,нет,,новосибирская область,нет,нет,0
33017,24,женский,65,,,,да,,новосибирская область,да,нет,0
33019,14,мужской,64,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область юг,нет,нет,0
33020,14,женский,56,нет,собственное,холост,да,,кемеровская область юг,нет,нет,0
33021,14,мужской,20,,собственное,холост,нет,,кемеровская область юг,нет,нет,0
33025,14,мужской,52,нет,собственное,холост,да,,новосибирская область,да,нет,0
33029,14,мужской,22,,живут с родителями,холост,да,,кемеровская область юг,нет,нет,0
33030,14,мужской,65,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,0
33036,14,мужской,28,,,,нет,,новосибирская область,нет,нет,0
33037,14,женский,38,,собственное,гражданский брак/женат/замужем,нет,неофициальное,новосибирская область,,нет,0
33040,14,женский,62,,,,да,,новосибирская область,нет,нет,0
33044,14,мужской,52,,,,нет,официальное,кемеровская область север,нет,нет,0
33053,14,женский,55,да,собственное,гражданский брак/женат/замужем,да,,красноярский край,да,нет,0
33055,14,женский,24,,долевая собственность,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,нет,да,0
33056,14,женский,50,,,,да,,кемеровская область север,да,да,0
33057,14,мужской,58,нет,собственное,разведен,да,,кемеровская область север,нет,нет,0
33059,14,мужской,30,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,0
33065,14,мужской,28,нет,собственное,гражданский брак/женат/замужем,да,,алтайский край,нет,да,0
33066,14,женский,57,да,собственное,гражданский брак/женат/замужем,нет,,алтайский край,да,нет,0
33071,14,женский,52,,собственное,холост,да,,кемеровская область юг,да,нет,0
33074,4,женский,34,,собственное,гражданский брак/женат/замужем,нет,неофициальное,кемеровская область юг,нет,да,0
33076,14,мужской,58,,,вдова/вдовец,да,,кемеровская область юг,да,нет,0
33080,4,мужской,25,,,,да,,новосибирская область,да,нет,0
33082,4,женский,58,нет,собственное,гражданский брак/женат/замужем,нет,,новосибирская область,да,нет,0
33083,4,женский,43,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
33085,6,мужской,24,,,,да,,кемеровская область север,да,нет,0
33087,9,женский,64,,собственное,вдова/вдовец,да,,кемеровская область юг,нет,нет,0
33088,9,женский,50,,собственное,вдова/вдовец,да,,кемеровская область север,нет,нет,0
33089,9,мужской,32,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
33091,9,женский,43,,собственное,холост,да,,новосибирская область,да,,0
33093,9,мужской,53,,собственное,гражданский брак/женат/замужем,да,,новосибирская область,нет,нет,0
33094,9,женский,55,,собственное,разведен,да,,кемеровская область север,да,нет,0
33095,9,женский,63,нет,собственное,вдова/вдовец,нет,,кемеровская область север,нет,нет,0
33096,9,женский,66,,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
33106,14,мужской,28,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область юг,да,да,0
33111,14,женский,58,да,арендуемое,гражданский брак/женат/замужем,да,,алтайский край,да,нет,0
33112,14,мужской,64,,,,нет,,красноярский край,да,нет,0
33115,14,женский,60,,собственное,,да,официальное,кемеровская область север,да,нет,0
33118,14,женский,46,да,собственное,разведен,нет,,красноярский край,да,нет,0
33120,14,женский,44,,собственное,холост,да,официальное,кемеровская область север,да,нет,0
33124,14,мужской,64,,муниципальное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
33127,14,женский,65,,собственное,вдова/вдовец,да,,кемеровская область север,да,,0
33128,14,мужской,31,,арендуемое,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
33131,14,женский,56,,собственное,холост,да,официальное,кемеровская область север,нет,нет,0
33132,14,мужской,25,,собственное,,да,официальное,кемеровская область юг,да,нет,0
33135,14,женский,48,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,да,0
33137,14,женский,46,,муниципальное,холост,нет,неофициальное,кемеровская область север,да,нет,0
33139,14,мужской,67,,собственное,вдова/вдовец,да,,кемеровская область север,да,нет,0
33144,14,мужской,37,,,,да,официальное,кемеровская область север,нет,да,0
33145,14,женский,43,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
33149,14,женский,29,,собственное,разведен,да,,кемеровская область юг,да,да,0
33150,14,мужской,22,,собственное,гражданский брак/женат/замужем,нет,официальное,кемеровская область юг,нет,да,0
33151,14,женский,44,,собственное,вдова/вдовец,да,,кемеровская область север,нет,да,0
33153,14,женский,61,нет,собственное,гражданский брак/женат/замужем,нет,,кемеровская область север,да,нет,0
33156,14,женский,57,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,нет,0
33160,14,женский,39,,собственное,гражданский брак/женат/замужем,да,официальное,кемеровская область север,да,да,0
33164,14,женский,30,,,,да,неофициальное,кемеровская область север,нет,да,0
33167,14,женский,58,нет,муниципальное,разведен,да,,кемеровская область север,нет,нет,0
33173,14,женский,64,нет,собственное,разведен,да,,алтайский край,да,нет,0
33174,14,мужской,24,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,да,да,0
33175,14,женский,26,нет,,,да,неофициальное,кемеровская область север,да,да,0
33176,14,женский,29,,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,нет,нет,0
33177,14,женский,55,,собственное,вдова/вдовец,нет,,кемеровская область юг,нет,нет,0
33185,14,мужской,54,,собственное,холост,да,официальное,кемеровская область юг,да,нет,0
33186,14,женский,47,,собственное,холост,да,,кемеровская область юг,да,нет,0
33187,14,мужской,26,,,,да,,алтайский край,нет,нет,0
33188,14,мужской,53,нет,долевая собственность,гражданский брак/женат/замужем,да,,алтайский край,нет,нет,0
33189,14,женский,61,,собственное,вдова/вдовец,да,неофициальное,кемеровская область юг,да,нет,0
33191,14,мужской,63,,долевая собственность,холост,да,,кемеровская область юг,нет,нет,0
33192,14,женский,57,нет,собственное,гражданский брак/женат/замужем,да,,кемеровская область север,,нет,0
33198,14,женский,57,да,собственное,гражданский брак/женат/замужем,да,,красноярский край,да,нет,0
33204,14,женский,22,нет,живут с родителями,холост,нет,,новосибирская область,нет,нет,0
33206,14,женский,61,нет,муниципальное,разведен,да,,алтайский край,да,нет,0
33208,14,женский,25,,,,нет,официальное,кемеровская область север,нет,да,0
33211,14,мужской,56,,,,да,,кемеровская область юг,нет,да,0
33213,14,женский,62,нет,собственное,холост,нет,,кемеровская область юг,да,нет,0
33215,14,женский,49,,собственное,холост,да,официальное,кемеровская область север,да,нет,0
33220,14,женский,41,,,,да,,алтайский край,нет,да,0
33222,14,мужской,34,,долевая собственность,гражданский брак/женат/замужем,нет,официальное,кемеровская область север,да,да,0
33226,14,женский,52,,собственное,холост,да,,кемеровская область север,,нет,0
33227,14,женский,64,,,вдова/вдовец,да,,кемеровская область север,да,нет,0
