gender,age,marstatus,children,age
Женский,62,Холост,Пропуск поля,3
Женский,63,Вдова/вдовец,Да,2
Женский,63,Вдова/вдовец,Нет,72
Женский,63,Вдова/вдовец,Пропуск поля,5
Женский,63,Гражданский брак/женат/замужем,Нет,70
Женский,63,Разведен,Нет,19
Женский,63,Разведен,Пропуск поля,1
Женский,63,Холост,Нет,37
Женский,63,Холост,Пропуск поля,4
Женский,64,Вдова/вдовец,Да,2
Женский,64,Вдова/вдовец,Нет,70
Женский,64,Вдова/вдовец,Пропуск поля,4
Женский,64,Гражданский брак/женат/замужем,Да,2
Женский,64,Гражданский брак/женат/замужем,Нет,46
Женский,64,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,64,Разведен,Нет,13
Женский,64,Холост,Да,3
Женский,64,Холост,Нет,41
Женский,64,Холост,Пропуск поля,4
Женский,65,Вдова/вдовец,Да,1
Женский,65,Вдова/вдовец,Нет,44
Женский,65,Вдова/вдовец,Пропуск поля,4
Женский,65,Гражданский брак/женат/замужем,Да,1
Женский,65,Гражданский брак/женат/замужем,Нет,35
Женский,65,Разведен,Нет,12
Женский,65,Холост,Нет,21
Женский,66,Вдова/вдовец,Нет,47
Женский,66,Вдова/вдовец,Пропуск поля,4
Женский,66,Гражданский брак/женат/замужем,Да,1
Женский,66,Гражданский брак/женат/замужем,Нет,35
Женский,66,Гражданский брак/женат/замужем,Пропуск поля,1
Женский,66,Разведен,Нет,6
Женский,66,Разведен,Пропуск поля,1
Женский,66,Холост,Нет,27
Женский,66,Холост,Пропуск поля,2
Женский,67,Вдова/вдовец,Да,1
Женский,67,Вдова/вдовец,Нет,31
Женский,67,Вдова/вдовец,Пропуск поля,1
Женский,67,Гражданский брак/женат/замужем,Нет,15
Женский,67,Разведен,Нет,6
Женский,67,Холост,Нет,9
Женский,67,Холост,Пропуск поля,1
Женский,68,Вдова/вдовец,Нет,17
Женский,68,Гражданский брак/женат/замужем,Нет,12
Женский,68,Разведен,Нет,1
Женский,68,Холост,Нет,6
Женский,69,Вдова/вдовец,Нет,8
Женский,69,Вдова/вдовец,Пропуск поля,2
Женский,69,Гражданский брак/женат/замужем,Нет,3
Женский,69,Разведен,Нет,2
Женский,69,Холост,Нет,4
Женский,70,Вдова/вдовец,Нет,5
Женский,70,Разведен,Нет,1
Женский,70,Холост,Нет,3
Женский,71,Вдова/вдовец,Нет,1
Женский,71,Гражданский брак/женат/замужем,Нет,1
Женский,71,Холост,Нет,1
Женский,72,Вдова/вдовец,Нет,2
Женский,72,Гражданский брак/женат/замужем,Нет,2
Женский,73,Вдова/вдовец,Нет,3
Женский,73,Гражданский брак/женат/замужем,Нет,1
Женский,74,Холост,Нет,1
Женский,75,Вдова/вдовец,Нет,3
Мужской,18,Гражданский брак/женат/замужем,Нет,1
Мужской,18,Холост,Нет,4
Мужской,19,Гражданский брак/женат/замужем,Да,11
Мужской,19,Гражданский брак/женат/замужем,Нет,15
Мужской,19,Разведен,Нет,1
Мужской,19,Холост,Нет,170
Мужской,19,Холост,Пропуск поля,1
Мужской,20,Гражданский брак/женат/замужем,Да,25
Мужской,20,Гражданский брак/женат/замужем,Нет,35
Мужской,20,Разведен,Да,1
Мужской,20,Холост,Да,3
Мужской,20,Холост,Нет,241
Мужской,20,Холост,Пропуск поля,7
Мужской,21,Гражданский брак/женат/замужем,Да,60
Мужской,21,Гражданский брак/женат/замужем,Нет,82
Мужской,21,Разведен,Да,1
Мужской,21,Разведен,Нет,5
Мужской,21,Холост,Да,2
Мужской,21,Холост,Нет,421
Мужской,21,Холост,Пропуск поля,8
Мужской,22,Гражданский брак/женат/замужем,Да,88
Мужской,22,Гражданский брак/женат/замужем,Нет,83
Мужской,22,Гражданский брак/женат/замужем,Пропуск поля,4
Мужской,22,Разведен,Да,2
Мужской,22,Разведен,Нет,5
Мужской,22,Холост,Да,5
Мужской,22,Холост,Нет,433
Мужской,22,Холост,Пропуск поля,11
Мужской,23,Гражданский брак/женат/замужем,Да,119
Мужской,23,Гражданский брак/женат/замужем,Нет,102
Мужской,23,Гражданский брак/женат/замужем,Пропуск поля,4
Мужской,23,Разведен,Да,7
Мужской,23,Разведен,Нет,10
Мужской,23,Холост,Да,6
Мужской,23,Холост,Нет,398
Мужской,23,Холост,Пропуск поля,8
Мужской,24,Гражданский брак/женат/замужем,Да,169
Мужской,24,Гражданский брак/женат/замужем,Нет,120
Мужской,24,Гражданский брак/женат/замужем,Пропуск поля,6
Мужской,24,Разведен,Да,9
Мужской,24,Разведен,Нет,7
Мужской,24,Холост,Да,16
Мужской,24,Холост,Нет,407
Мужской,24,Холост,Пропуск поля,8
Мужской,25,Гражданский брак/женат/замужем,Да,179
Мужской,25,Гражданский брак/женат/замужем,Нет,123
Мужской,25,Гражданский брак/женат/замужем,Пропуск поля,1
Мужской,25,Разведен,Да,13
Мужской,25,Разведен,Нет,12
Мужской,25,Холост,Да,16
Мужской,25,Холост,Нет,341
Мужской,25,Холост,Пропуск поля,6
Мужской,26,Гражданский брак/женат/замужем,Да,232
Мужской,26,Гражданский брак/женат/замужем,Нет,126
Мужской,26,Гражданский брак/женат/замужем,Пропуск поля,1
Мужской,26,Разведен,Да,14
Мужской,26,Разведен,Нет,14
Мужской,26,Разведен,Пропуск поля,2
Мужской,26,Холост,Да,16
Мужской,26,Холост,Нет,305
Мужской,26,Холост,Пропуск поля,7
Мужской,27,Гражданский брак/женат/замужем,Да,238
Мужской,27,Гражданский брак/женат/замужем,Нет,112
Мужской,27,Гражданский брак/женат/замужем,Пропуск поля,4
Мужской,27,Разведен,Да,16
Мужской,27,Разведен,Нет,12
Мужской,27,Холост,Да,24
Мужской,27,Холост,Нет,221
Мужской,27,Холост,Пропуск поля,10
Мужской,28,Вдова/вдовец,Да,1
Мужской,28,Гражданский брак/женат/замужем,Да,224
Мужской,28,Гражданский брак/женат/замужем,Нет,119
Мужской,28,Гражданский брак/женат/замужем,Пропуск поля,2
Мужской,28,Разведен,Да,20
Мужской,28,Разведен,Нет,12
Мужской,28,Холост,Да,14
Мужской,28,Холост,Нет,169
Мужской,28,Холост,Пропуск поля,2
Мужской,29,Гражданский брак/женат/замужем,Да,204
Мужской,29,Гражданский брак/женат/замужем,Нет,101
Мужской,29,Разведен,Да,29
Мужской,29,Разведен,Нет,11
Мужской,29,Холост,Да,21
Мужской,29,Холост,Нет,188
Мужской,29,Холост,Пропуск поля,6
Мужской,30,Гражданский брак/женат/замужем,Да,220
Мужской,30,Гражданский брак/женат/замужем,Нет,97
Мужской,30,Гражданский брак/женат/замужем,Пропуск поля,2
Мужской,30,Разведен,Да,34
Мужской,30,Разведен,Нет,20
Мужской,30,Разведен,Пропуск поля,1
Мужской,30,Холост,Да,22
Мужской,30,Холост,Нет,140
Мужской,30,Холост,Пропуск поля,3
Мужской,31,Вдова/вдовец,Да,1
Мужской,31,Гражданский брак/женат/замужем,Да,204
Мужской,31,Гражданский брак/женат/замужем,Нет,83
Мужской,31,Гражданский брак/женат/замужем,Пропуск поля,4
Мужской,31,Разведен,Да,24
Мужской,31,Разведен,Нет,11
Мужской,31,Холост,Да,19
Мужской,31,Холост,Нет,114
Мужской,31,Холост,Пропуск поля,4
Мужской,32,Вдова/вдовец,Да,1
Мужской,32,Гражданский брак/женат/замужем,Да,182
Мужской,32,Гражданский брак/женат/замужем,Нет,74
Мужской,32,Гражданский брак/женат/замужем,Пропуск поля,1
Мужской,32,Разведен,Да,21
Мужской,32,Разведен,Нет,6
Мужской,32,Разведен,Пропуск поля,1
Мужской,32,Холост,Да,19
Мужской,32,Холост,Нет,97
Мужской,32,Холост,Пропуск поля,4
Мужской,33,Вдова/вдовец,Да,1
Мужской,33,Вдова/вдовец,Нет,1
Мужской,33,Гражданский брак/женат/замужем,Да,176
Мужской,33,Гражданский брак/женат/замужем,Нет,59
Мужской,33,Гражданский брак/женат/замужем,Пропуск поля,1
Мужской,33,Разведен,Да,27
Мужской,33,Разведен,Нет,10
Мужской,33,Холост,Да,17
Мужской,33,Холост,Нет,92
Мужской,33,Холост,Пропуск поля,2
Мужской,34,Гражданский брак/женат/замужем,Да,170
Мужской,34,Гражданский брак/женат/замужем,Нет,57
Мужской,34,Гражданский брак/женат/замужем,Пропуск поля,3
Мужской,34,Разведен,Да,31
Мужской,34,Разведен,Нет,9
Мужской,34,Холост,Да,10
Мужской,34,Холост,Нет,86
Мужской,34,Холост,Пропуск поля,2
Мужской,35,Вдова/вдовец,Да,2
Мужской,35,Гражданский брак/женат/замужем,Да,162
Мужской,35,Гражданский брак/женат/замужем,Нет,53
Мужской,35,Гражданский брак/женат/замужем,Пропуск поля,1
Мужской,35,Разведен,Да,35
Мужской,35,Разведен,Нет,7
Мужской,35,Холост,Да,13
Мужской,35,Холост,Нет,69
Мужской,35,Холост,Пропуск поля,1
Мужской,36,Вдова/вдовец,Да,1
Мужской,36,Гражданский брак/женат/замужем,Да,149
